date,confirmed
2021.10.23,14.0
2021.10.24,23.0
2021.10.25,29.0
2021.10.26,36.0
2021.10.27,46.0
2021.10.28,63.0
2021.10.29,71.0
2021.10.30,79.0
2021.10.31,92.0
2021.11.01,108.0
2021.11.02,126.0
2021.11.03,158.0
2021.11.04,178.0
2021.11.05,196.0
2021.11.06,215.0
2021.11.07,227.0
2021.11.08,246.0
2021.11.09,246.0
2021.11.10,246.0
2021.11.11,246.0
2021.11.12,246.0
2021.11.13,246.0
2021.11.14,246.0
2021.11.15,256.0
2021.11.16,275.0
2021.11.17,314.0
2021.11.18,356.0
2021.11.19,388.0
2021.11.20,419.0
2021.11.21,447.0
