기온분석
[검색조건]
자료구분 : 일
지역/지점 : 홍성
기간 : 20010401~20180527

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2015-11-04,177,9.8,1.5,19.9
2015-11-05,177,11.4,5.9,19
2015-11-06,177,13,5.4,21.5
2015-11-07,177,12.6,11.5,13.6
2015-11-08,177,12.9,12.5,13.3
2015-11-09,177,12.9,11.4,14.8
2015-11-10,177,9.9,5.3,13
2015-11-11,177,9.8,4.8,15.2
2015-11-12,177,12.2,4.8,20.7
2015-11-13,177,11.3,10.4,13.6
2015-11-14,177,13.4,11,15.8
2015-11-15,177,13.6,10.1,18.9
2015-11-16,177,12.2,8.3,15.7
2015-11-17,177,13.6,10.4,17.5
2015-11-18,177,11.4,9.1,13.6
2015-11-19,177,9.7,7.7,11.5
2015-11-20,177,9.8,6.2,14.2
2015-11-21,177,7.7,4.3,13
2015-11-22,177,9.3,2.4,14.2
2015-11-23,177,10.3,9.2,11.1
2015-11-24,177,6.2,4.5,9.8
2015-11-25,177,5.7,4.3,6.6
2015-11-26,177,0.4,-1.1,4.5
2015-11-27,177,-0.5,-2.7,1.3
2015-11-28,177,2.3,0.7,3.8
2015-11-29,177,5.1,2.8,7.8
2015-11-30,177,6,-0.8,10
2015-12-01,177,2.7,-2.7,10.5
2015-12-02,177,7.9,2.4,12.1
2015-12-03,177,2.6,-0.6,6.5
2015-12-04,177,2.6,-0.6,6
2015-12-05,177,6,2.1,9
2015-12-06,177,1.4,-2.6,6.1
2015-12-07,177,1,-4.7,7
2015-12-08,177,2,-2.2,9.1
2015-12-09,177,4.9,-2.6,13.4
2015-12-10,177,7.6,5.7,8.9
2015-12-11,177,7.1,3.7,12.1
2015-12-12,177,5.5,-0.1,10.5
2015-12-13,177,6.5,2.7,12.2
2015-12-14,177,5.9,2.8,6.7
2015-12-15,177,6.6,5,8.6
2015-12-16,177,0.4,-1.6,5.1
2015-12-17,177,-1.8,-5.1,0.7
2015-12-18,177,-0.7,-5.7,4.1
2015-12-19,177,1.2,-2.8,6.4
2015-12-20,177,1,-3.2,5.1
2015-12-21,177,3.7,-1,9.3
2015-12-22,177,1.7,-2.1,5.2
2015-12-23,177,4.8,-0.1,10
2015-12-24,177,2.6,-2,8.4
2015-12-25,177,1.3,-2.6,5.5
2015-12-26,177,2.5,-3.4,9.8
2015-12-27,177,-2.9,-6.3,0.5
2015-12-28,177,-3.3,-7.6,1.8
2015-12-29,177,-2.4,-7.2,3.3
2015-12-30,177,0.8,-5.3,6.5
2015-12-31,177,1.4,-2.3,6.3
2016-01-01,177,2.3,-3.6,7
2016-01-02,177,6.7,0.6,11.6
2016-01-03,177,6.9,1.9,11.5
2016-01-04,177,3.6,-2.1,7.9
2016-01-05,177,-1.1,-4.7,1.8
2016-01-06,177,0,-5.3,4.8
2016-01-07,177,0.3,-2.2,3.2
2016-01-08,177,-0.4,-4.1,3.3
2016-01-09,177,1.3,-1.8,4.7
2016-01-10,177,1.2,-3.5,5.5
2016-01-11,177,-2.9,-6.5,3
2016-01-12,177,-3.2,-9.3,2.7
2016-01-13,177,-1.8,-5.5,1
2016-01-14,177,-1.8,-7.1,2.7
2016-01-15,177,-0.1,-4.6,5.6
2016-01-16,177,0.6,-3.5,6.2
2016-01-17,177,1.8,-1.7,6.5
2016-01-18,177,-3.3,-7.9,3.3
2016-01-19,177,-7.8,-9.6,-5.8
2016-01-20,177,-9.6,-12.6,-6
2016-01-21,177,-6.9,-11.9,-1.7
2016-01-22,177,-7.2,-13.5,-1.5
2016-01-23,177,-8.4,-12.3,-4
2016-01-24,177,-12.2,-15.2,-9.6
2016-01-25,177,-10.5,-15.8,-5.5
2016-01-26,177,-2,-8.5,3.5
2016-01-27,177,-2.9,-10.4,4.3
2016-01-28,177,-1.9,-10.6,2.1
2016-01-29,177,1.7,-2.9,4.3
2016-01-30,177,-1.8,-7.7,5.4
2016-01-31,177,-3.3,-7.2,1.1
2016-02-01,177,-6.1,-10.2,-0.8
2016-02-02,177,-6.1,-12.3,0.3
2016-02-03,177,-3.6,-11.2,4.6
2016-02-04,177,-0.5,-7.6,4.9
2016-02-05,177,-1.4,-8.1,4
2016-02-06,177,-2.8,-6.9,1.3
2016-02-07,177,-3.3,-10.5,3.5
2016-02-08,177,2.4,-5.9,6.8
2016-02-09,177,2,-3,6.5
2016-02-10,177,1.6,-5.1,9.9
2016-02-11,177,5.6,-2.6,12.6
2016-02-12,177,9.1,6.1,12.4
2016-02-13,177,10.8,4.4,16.8
2016-02-14,177,-1,-4,4.3
2016-02-15,177,-3.3,-6.1,-0.4
2016-02-16,177,-0.3,-4.8,4.4
2016-02-17,177,0.8,-4.6,6.1
2016-02-18,177,4.6,-2.9,8.4
2016-02-19,177,2.4,-1.2,6.3
2016-02-20,177,2.1,-2.1,6.9
2016-02-21,177,0.3,-4.5,5.5
2016-02-22,177,2.4,-2.2,6.3
2016-02-23,177,1.8,-2.2,6.1
2016-02-24,177,-2.6,-6.9,2.2
2016-02-25,177,1.2,-5.4,5.8
